                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.82533,                0.40919,                 0.8183,                0.98756,                0.96245,                0.99333,                0.70908,                      0,                    inf,                      0,              0.0090793,              0.0090793,              0.0090793
                     95,                0.82039,                0.40266,                0.81153,                0.97578,                0.96364,                0.99194,                0.67503,                      0,                    inf,                      0,              0.0090694,              0.0090694,              0.0090694
                     96,                0.83524,                0.40413,                0.81752,                0.98287,                0.99394,                0.99476,                0.70329,                      0,                    inf,                      0,              0.0090595,              0.0090595,              0.0090595
                     97,                0.81735,                0.39915,                0.81729,                0.98864,                0.97879,                0.99437,                0.67544,                      0,                    inf,                      0,              0.0090496,              0.0090496,              0.0090496
                     98,                 0.8144,                0.40339,                0.81077,                0.99011,                0.97879,                0.99417,                 0.6974,                      0,                    inf,                      0,              0.0090397,              0.0090397,              0.0090397
                     99,                 0.8317,                0.40518,                0.81699,                0.98965,                0.98485,                0.99443,                0.68526,                      0,                    inf,                      0,              0.0090298,              0.0090298,              0.0090298
                    100,                0.82773,                0.40806,                 0.8203,                0.99367,                0.95124,                0.98636,                0.68931,                      0,                    inf,                      0,              0.0090199,              0.0090199,              0.0090199
                    101,                0.81382,                0.39229,                0.81811,                0.99369,                0.95374,                0.99307,                0.72497,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                    102,                 0.8257,                0.40499,                0.81502,                0.99165,                0.98485,                0.99457,                0.72464,                      0,                    inf,                      0,              0.0090001,              0.0090001,              0.0090001
                    103,                0.81934,                0.39615,                0.81365,                0.99385,                0.97972,                0.99455,                0.69169,                      0,                    inf,                      0,              0.0089902,              0.0089902,              0.0089902
                    104,                0.82169,                0.39854,                0.82692,                0.99636,                0.98485,                0.99479,                0.71545,                      0,                    inf,                      0,              0.0089803,              0.0089803,              0.0089803
